Friday Date,Monday Date,Friday Close,Monday Open,Monday Close,Friday-Monday Return (%),Volume Liquidity,Positive Return,Friday Volume,Monday Volume
2017-03-17,2017-03-20,237.02999877929688,237.02999877929688,236.77000427246094,-0.10968843951183721,Sufficient,False,89002100,52537000.0
2017-03-24,2017-03-27,233.86000061035156,231.92999267578125,233.6199951171875,-0.10262785108084828,Sufficient,False,112504900,87454500.0
2017-03-31,2017-04-03,235.74000549316406,235.8000030517578,235.3300018310547,-0.17392197020257735,Sufficient,False,73733100,85546500.0
2017-04-07,2017-04-10,235.1999969482422,235.36000061035156,235.33999633789062,0.05952355079292182,Sufficient,True,74412300,67615300.0
2017-04-21,2017-04-24,234.58999633789062,237.17999267578125,237.1699981689453,1.0997919226438768,Sufficient,True,110389800,119209900.0
2017-04-28,2017-05-01,238.0800018310547,238.67999267578125,238.67999267578125,0.252012281633098,Sufficient,True,63532800,66882500.0
2017-05-05,2017-05-08,239.6999969482422,239.75,239.66000366210938,-0.016684725340838508,Sufficient,False,62001300,48385700.0
2017-05-12,2017-05-15,238.97999572753906,239.47000122070312,240.3000030517578,0.552350551434309,Sufficient,True,53912700,61918900.0
2017-05-19,2017-05-22,238.30999755859375,238.89999389648438,239.52000427246094,0.5077448391856413,Sufficient,True,115011400,61010600.0
2017-06-02,2017-06-05,244.1699981689453,243.97000122070312,243.99000549316406,-0.0737161310279857,Sufficient,False,88666100,44698800.0
2017-06-09,2017-06-12,243.41000366210938,243.1300048828125,243.36000061035156,-0.02054272667742302,Sufficient,False,132256400,86108100.0
2017-06-16,2017-06-19,242.63999938964844,243.58999633789062,244.66000366210938,0.8325108298475851,Sufficient,True,84553100,65123800.0
2017-06-23,2017-06-26,243.1300048828125,243.89999389648438,243.2899932861328,0.06580364418510423,Sufficient,True,66986800,56700500.0
2017-06-30,2017-07-03,241.8000030517578,242.8800048828125,242.2100067138672,0.16956313355447428,Sufficient,True,86820700,39153800.0
2017-07-07,2017-07-10,242.11000061035156,242.11000061035156,242.3699951171875,0.10738693411279983,Sufficient,True,57972300,36663300.0
2017-07-14,2017-07-17,245.55999755859375,245.47000122070312,245.52999877929688,-0.012216476459980787,Sufficient,False,60262700,33531900.0
2017-07-21,2017-07-24,246.8800048828125,246.7899932861328,246.82000732421875,-0.024302315864838577,Sufficient,False,82340800,46622300.0
2017-07-28,2017-07-31,246.91000366210938,247.3699951171875,246.77000427246094,-0.056700574124985,Sufficient,False,50088400,65838700.0
2017-08-04,2017-08-07,247.41000366210938,247.49000549316406,247.8699951171875,0.18592273888259608,Sufficient,True,60191800,31995000.0
